link,title
http://newyork.craigslist.org/brk/bks/4796296187.html,"GRE Prep Books: ETS, Manhattan Prep, Kaplan, Princeton Review"
http://newyork.craigslist.org/brk/bks/4787064129.html,BRAND NEW CFA Program Curriculum Level 2 2011 Volumes 1-6
http://newyork.craigslist.org/brk/bks/4787064412.html,CFA Level 2 2011 Books 1-5 w/Practice Exams and Workbooks - Like New!
http://newyork.craigslist.org/brk/bks/4787067013.html,BRAND NEW CFA Program Curriculum Level 3 2012 Volumes 1-6
http://newyork.craigslist.org/brk/bks/4787067505.html,"CFA Level 3 2012 Books 1-5, Practice Exams, Workbooks, CDs - Like New!"
http://newyork.craigslist.org/fct/bks/4798191292.html,Huge Collection of Wine Spectator Magazines Magazine Robert Parker 
http://newyork.craigslist.org/brk/bks/4794777433.html,Fundamentals Of Corporate Finance 7th Ed w/ CD - Excellent Condition!
http://newyork.craigslist.org/mnh/bks/4802464008.html,Manhattan GMAT 5th Edition - Complete Set of Books
http://newyork.craigslist.org/brx/bks/4787852041.html,NEW GUINESSS WORLD RECORDS 2000
http://newyork.craigslist.org/wch/bks/4780355891.html,Automotive Magazines 
http://newyork.craigslist.org/brx/bks/4787851740.html,NEW GUINESSS WORLD RECORDS 2000
http://newyork.craigslist.org/mnh/bks/4794696665.html,Magazine Racks
http://newyork.craigslist.org/brk/bkd/4802472696.html,"THE GREEN VIOLIN; Theory, Ear Training, and Musicianship for Violinist"
http://newyork.craigslist.org/mnh/bks/4779501322.html,Vintage Children's Books
http://newyork.craigslist.org/brk/bkd/4802394805.html,BUD'S 420 Buds
http://newyork.craigslist.org/mnh/bks/4802431129.html,Read Southernmost Point.
http://newyork.craigslist.org/mnh/bks/4787353928.html,Books for sale 
http://newyork.craigslist.org/wch/bks/4798738361.html,"ROLLING STONE ""THE 500 GREATEST ALBUMS OF ALL TIMES"" HARDCOVER BOOK "
http://newyork.craigslist.org/stn/bks/4761557728.html,Affairs of the Heart & Soul - Erotic & Love Poetry
http://newyork.craigslist.org/lgi/bks/4788998645.html,Cheating and Betrayal book
http://newyork.craigslist.org/brk/bks/4802396334.html,OLDER ADULT MAGAZINES 1980S-2000S
http://newyork.craigslist.org/lgi/bks/4789635517.html,Cookbooks
http://newyork.craigslist.org/wch/bks/4792550439.html,77 author SIGNED mostly lstED BOOKS
http://newyork.craigslist.org/mnh/bks/4802370834.html,"Amy Sedaris, Crafting for Poor People. Funny!! New Hardback w/cover"
http://newyork.craigslist.org/brk/bks/4798564663.html,BUDS WONDER BUDS 420
http://newyork.craigslist.org/brk/bks/4798561725.html,buds 420 delivery
http://newyork.craigslist.org/mnh/bks/4802155723.html,PAPERBACK COLLECTION- JOHN D MACDONALD (PBOS)
http://newyork.craigslist.org/mnh/bks/4802336754.html,Goombata
http://newyork.craigslist.org/lgi/bks/4766311498.html,James Dean Collector's
http://newyork.craigslist.org/lgi/bks/4802337704.html,THE SCIENCE OF NUTRITION 3RD EDITION TEXTBOOK
http://newyork.craigslist.org/lgi/bks/4765170598.html,A History of English Peoples - set
http://newyork.craigslist.org/stn/bks/4798381885.html,Cooking books collection ($150 all 24 books)
http://newyork.craigslist.org/stn/bks/4798380962.html,Art books collection ($100 when purchased all 21)
http://newyork.craigslist.org/mnh/bks/4785434443.html,Fashion Coffee Table Books (Columbia U.)
http://newyork.craigslist.org/mnh/bks/4764866184.html,Women's Triathlon Training Books (Bundle of 3) (Columbia U)
http://newyork.craigslist.org/stn/bkd/4798013310.html,walk in box and restaurant equipment dealer
http://newyork.craigslist.org/brk/bks/4771966205.html,Richard F Burton ARABIAN (THOUSAND) NIGHTS 17 volume set #222
http://newyork.craigslist.org/mnh/bks/4772331286.html,Examkrackers MCAT101 Passages in MCAT Verbal 
http://newyork.craigslist.org/brk/bks/4802318359.html,Angels & Demons: Special Illustrated Edition
http://newyork.craigslist.org/wch/bks/4795982865.html,Vintage Popular Mechanics Magazines from the 70's
http://newyork.craigslist.org/brx/bks/4781947884.html,"Disney ""A Bug's Life"" hardcover books"
http://newyork.craigslist.org/wch/bks/4802294180.html,Alfred University Yearbooks
http://newyork.craigslist.org/lgi/bkd/4760631518.html,Comic Books 
http://newyork.craigslist.org/mnh/bks/4802141372.html,PAPERBACK COLLECTION- JOHN D MACDONALD (PBOS)
http://newyork.craigslist.org/brk/bks/4802287253.html,CRIMINAL LAW CASEBOOK
http://newyork.craigslist.org/mnh/bks/4802282618.html,Allora Corso di italiano Textbook NYU
http://newyork.craigslist.org/mnh/bks/4802280267.html,Child Development Textbook 9th Ed
http://newyork.craigslist.org/mnh/bks/4802273915.html,Records & Books for Sale
http://newyork.craigslist.org/que/bks/4768831944.html,Fodor's Morocco Travel Guide
http://newyork.craigslist.org/que/bks/4788984418.html,Vintage '80s MLB Baseball Sticker Album Lot (Topps/Panini)
http://newyork.craigslist.org/que/bks/4783961039.html,"Playboy Magazines (1970s, mid-late 2000s)"
http://newyork.craigslist.org/mnh/bks/4770471806.html,Greetings New York
http://newyork.craigslist.org/wch/bks/4802242055.html,Mechanics Of Patent Claim Drafting & PLI Course
http://newyork.craigslist.org/brk/bks/4802240317.html,Playboy Magazines
http://newyork.craigslist.org/mnh/bks/4802226577.html,RARE ROYAL WEDDING BOOK- 1982
http://newyork.craigslist.org/brk/bks/4802223711.html,Dickens' A CHRISTMAS CAROL
http://newyork.craigslist.org/brk/bks/4802175379.html,What to Do When You're Dating a Jew
http://newyork.craigslist.org/lgi/bks/4773528470.html,"""The Tragedy of Coriolanus"" by William Shakespeare"
http://newyork.craigslist.org/que/bks/4779634250.html,CDL PERMIT EXAM MOTORCYCLE PERMIT EXAM GURANTEE PASSING CALL ME NOW! 
http://newyork.craigslist.org/que/bks/4802207767.html,Great Books of the Western World
http://newyork.craigslist.org/mnh/bks/4767308782.html,Med Surge Question and answer book Fundamentals Success Nursing book
http://newyork.craigslist.org/mnh/bks/4802154097.html,PRIVATE ARDBACK BOOK COLLECTION OVER 300 HARDBACK SIGNED/FINE COND.
http://newyork.craigslist.org/que/bks/4766256281.html,GARDALL COMMERCIAL SAFE
http://newyork.craigslist.org/brk/bks/4802166967.html,The Yiddish Policemen's Union:A Novel by Michael Chabon (Hardcover) 
http://newyork.craigslist.org/brk/bks/4802157490.html,The Essential Talmud by Adin Steinsaltz
http://newyork.craigslist.org/brk/bks/4802171164.html,"The Bridal Canopy-S.Agnon, Writing the Book of Esther"
http://newyork.craigslist.org/mnh/bks/4802183717.html,Christian Discipleship Book
http://newyork.craigslist.org/brk/bks/4791838863.html,Just Say Nu: Yiddish for Every Occasion by Michael Wex
http://newyork.craigslist.org/mnh/bks/4802138468.html,PRIVATE ARDBACK BOOK COLLECTION OVER 300 HARDBACK SIGNED/FINE COND.
http://newyork.craigslist.org/wch/bks/4771296580.html,A Course in Miracles
http://newyork.craigslist.org/wch/bks/4771297015.html,Three Magic Words
http://newyork.craigslist.org/brx/bks/4793945745.html,College handbook 2015
http://newyork.craigslist.org/mnh/bks/4802062777.html,"Early Rare Feminist Book, ""This Is Love."" 1930"
http://newyork.craigslist.org/brk/bks/4790771515.html,Beatlemania magazine
http://newyork.craigslist.org/brk/bks/4797410231.html,Heroes remembering the fallen
http://newyork.craigslist.org/brk/bks/4802143838.html,A Child Is Born by Lennart Nilsson
http://newyork.craigslist.org/brk/bks/4802161621.html,Three Great Jewish Plays by Joseph C. Landis
http://newyork.craigslist.org/brk/bks/4802152944.html,Partridge's Concise Dictionary of Slang and Unconventional English
http://newyork.craigslist.org/mnh/bks/4767309777.html,ATI Nursing Education Care of children
http://newyork.craigslist.org/brk/bks/4802149245.html,Russian - Hungarian dictionary 2 Volumes
http://newyork.craigslist.org/que/bks/4802147197.html,"Speyer Breslau Passover Haggadah, 1768, Facsimile Edition"
http://newyork.craigslist.org/mnh/bks/4802147022.html,THE CURRICULUM / MASTER OF BUSINESS ARTS
http://newyork.craigslist.org/brk/bks/4802146432.html,Hungarian - Russian dictionary
http://newyork.craigslist.org/brx/bks/4802144464.html,"1954 reprint of ""Soldier's Pay"" Faulkner's first prose work "
http://newyork.craigslist.org/fct/bks/4763351262.html,Early 1932 Edition- The Land of Oz - L. Frank Baum
http://newyork.craigslist.org/fct/bks/4763153293.html,1949 - Gulliver's Travels - Johnathan Swift
http://newyork.craigslist.org/que/bks/4798457425.html,Manhattan GMAT Books 4th Ed - Negotiable
http://newyork.craigslist.org/fct/bks/4763288987.html,Collectible Magazines - PRINT
http://newyork.craigslist.org/fct/bks/4763320790.html,New York (City) - THE PHOTO ATLAS
http://newyork.craigslist.org/brx/bks/4802096819.html,"rare 1930s pulp fiction -Spicy Adventure, Candid Detective, etc "
http://newyork.craigslist.org/brk/bks/4802116314.html,THREE Beatle Books
http://newyork.craigslist.org/que/bks/4798745231.html,Cooking books
http://newyork.craigslist.org/fct/bks/4763591244.html,"Norwegian Travel, Holiday and Cook Books"
http://newyork.craigslist.org/fct/bks/4763581580.html,The DaVinci Code - Hardcover - Dan Brown
